Activity Date,Process Date,Settle Date,Instrument,Description,Trans Code,Quantity,Price,Amount,Suppressed
9/22/2023,9/22/2023,9/26/2023,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,7,$6 ,$54 ,N
9/21/2023,9/21/2023,9/21/2023,SPYG,Cash Div: R/D 2023-09-19 P/D 2023-09-21 - 340.671639 shares at 0.179402,CDIV,-1,$10 ,$10 ,N
9/19/2023,9/19/2023,9/21/2023,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,15,$7 ,($42),N
9/18/2023,9/18/2023,9/20/2023,NEE,NextEra Energy,Buy,12,$8 ,$24 ,N
9/15/2023,9/15/2023,9/15/2023,NEE,Cash Div: R/D 2023-08-30 P/D 2023-09-15 - 31.158977 shares at 0.4675,CDIV,1,$3 ,($30),N
9/15/2023,9/15/2023,9/19/2023,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,14,$9 ,($9),N
9/15/2023,9/15/2023,9/19/2023,HD,Home Depot,Buy,5,$3 ,($30),N
9/15/2023,9/15/2023,9/19/2023,MSFT,Microsoft,Buy,1,$4 ,$8 ,N
9/14/2023,9/14/2023,9/14/2023,HD,Cash Div: R/D 2023-08-31 P/D 2023-09-14 - 3.428374 shares at 2.09,CDIV,5,$5 ,$35 ,N
9/14/2023,9/14/2023,9/14/2023,MSFT,Cash Div: R/D 2023-08-17 P/D 2023-09-14 - 14.842969 shares at 0.68,CDIV,0,$1 ,($2),N
9/13/2023,9/13/2023,9/15/2023,ABNB,Airbnb,Sell,11,$8 ,($48),N
9/5/2023,9/5/2023,9/7/2023,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,11,$3 ,($21),N
9/5/2023,9/5/2023,9/6/2023,,ACH Deposit,ACH,7,$1 ,$5 ,N
9/1/2023,9/1/2023,9/6/2023,LOW,Lowe's,Buy,8,$8 ,$40 ,N
9/1/2023,9/1/2023,9/6/2023,HD,Home Depot,Buy,14,$9 ,($63),N
9/1/2023,9/1/2023,9/5/2023,,ACH Deposit,ACH,12,$4 ,($32),N
